Downloads,Revenue,Category,In_App_Purchases,Ads,Free
14025020,381499833.4,Action,TRUE,TRUE,TRUE
47626428,308761551.4,Casual,TRUE,TRUE,TRUE
59717242,306847606.8,Lifestyle,TRUE,TRUE,TRUE
9644402,269660310.2,Role Playing,TRUE,TRUE,TRUE
36942437,198454419.1,Music & Audio,TRUE,TRUE,TRUE
71314720,162300638.8,Video Players & Editors,TRUE,TRUE,TRUE
37779102,125939214,Casual,TRUE,TRUE,TRUE
60991823,118406545,Adventure,TRUE,TRUE,TRUE
33519732,111418580.8,Card,TRUE,TRUE,TRUE
32797250,109740562.6,Casual,TRUE,TRUE,TRUE
14686144,109362946.4,Card,TRUE,TRUE,TRUE
128434634,97405740.97,Sports,TRUE,TRUE,TRUE
40143901,93283348.74,Casual,TRUE,TRUE,TRUE
21359685,93021339.58,Puzzle,TRUE,TRUE,TRUE
15049613,89988699.1,Casino,TRUE,TRUE,TRUE
13590913,86784835.4,Sports,TRUE,TRUE,TRUE
11582404,82036527.19,Casino,TRUE,TRUE,TRUE
72519665,80682648.59,Action,TRUE,TRUE,TRUE
21656331,75077137.8,Sports,TRUE,TRUE,TRUE
90129352,72451153.53,Music & Audio,TRUE,TRUE,TRUE
21879473,68639024,Strategy,TRUE,TRUE,TRUE
9012161,68352804.38,Strategy,TRUE,TRUE,TRUE
30042900,66481204.09,Simulation,TRUE,TRUE,TRUE
9553617,65688598.07,Role Playing,TRUE,TRUE,TRUE
28727958,64890981.39,Racing,TRUE,TRUE,TRUE
33719743,62081881.7,Action,TRUE,TRUE,TRUE
39996076,61319714.52,Simulation,TRUE,TRUE,TRUE
30208384,60132169.53,Simulation,TRUE,TRUE,TRUE
25780031,58372375.15,Simulation,TRUE,TRUE,TRUE
9792149,57833189.91,Puzzle,TRUE,TRUE,TRUE
47441944,55301576.97,Casual,TRUE,TRUE,TRUE
8508822,52427445.44,Puzzle,TRUE,TRUE,TRUE
36368242,51555649.27,Simulation,TRUE,TRUE,TRUE
9192578,51449962.47,Role Playing,TRUE,TRUE,TRUE
17879447,51196310.59,Communication,TRUE,TRUE,TRUE
30968000,49121318.16,Communication,TRUE,TRUE,TRUE
16365540,48292237.27,Puzzle,TRUE,TRUE,TRUE
28607803,47564793.72,Social,TRUE,TRUE,TRUE
31994122,42667984.25,Sports,TRUE,TRUE,TRUE
49780955,40365158.88,Arcade,TRUE,TRUE,TRUE
13892765,35903848.33,Simulation,TRUE,TRUE,TRUE
37234633,34997439.12,Social,TRUE,TRUE,TRUE
26411506,33524652.28,Action,TRUE,TRUE,TRUE
28531532,32109343.77,Simulation,TRUE,TRUE,TRUE
13545997,31761817.19,Puzzle,TRUE,TRUE,TRUE
15373509,31230071.53,Music & Audio,TRUE,TRUE,TRUE
23259612,30220898.76,Role Playing,TRUE,TRUE,TRUE
20517596,29479058.01,Health & Fitness,TRUE,TRUE,TRUE
22514551,28176457.64,Tools,TRUE,TRUE,TRUE
7583918,28076152.41,Puzzle,TRUE,TRUE,TRUE
18872291,27092623.86,Simulation,TRUE,TRUE,TRUE
29047727,26395007.31,Music & Audio,TRUE,TRUE,TRUE
25051390,25341164.8,Sports,TRUE,TRUE,TRUE
8687492,23216598.19,Casual,TRUE,TRUE,TRUE
14102327,23177583.15,Social,TRUE,TRUE,TRUE
7492924,22419278.39,Role Playing,TRUE,TRUE,TRUE
12047920,22406399.02,Sports,TRUE,TRUE,TRUE
13565975,21871140.54,Puzzle,TRUE,TRUE,TRUE
10518787,21666195.84,Casual,TRUE,TRUE,TRUE
40686066,20782525.64,Casual,TRUE,TRUE,TRUE
51776696,20437772.38,Action,TRUE,TRUE,TRUE
74697417,20133495.89,Action,TRUE,TRUE,TRUE
46667071,19814874.71,Word,TRUE,TRUE,TRUE
11828839,19188579.96,Board,TRUE,TRUE,TRUE
10967721,19177175.95,Social,TRUE,TRUE,TRUE
11128505,18313231.97,Simulation,TRUE,TRUE,TRUE
8821188,18190059.6,Casual,TRUE,TRUE,TRUE
14605492,17537865.28,Music & Audio,TRUE,TRUE,TRUE
16451993,17342578.32,Casual,TRUE,TRUE,TRUE
22958461,17319245.93,Music & Audio,TRUE,TRUE,TRUE
29393721,17288502.22,Entertainment,TRUE,TRUE,TRUE
8141328,16300611.74,Action,TRUE,TRUE,TRUE
70005926,15652003.55,Racing,TRUE,TRUE,TRUE
11823642,15134992.28,Arcade,TRUE,TRUE,TRUE
12949858,14730125.44,Word,TRUE,TRUE,TRUE
10459664,14259434.32,Role Playing,TRUE,TRUE,TRUE
13654879,14184786.86,Role Playing,TRUE,TRUE,TRUE
10141513,13360244.47,Puzzle,TRUE,TRUE,TRUE
17328246,12536466.29,Casual,TRUE,TRUE,TRUE
17384371,12108587.67,Simulation,TRUE,TRUE,TRUE
16688937,11954790.91,Arcade,TRUE,TRUE,TRUE
22693620,11741973.25,Adventure,TRUE,TRUE,TRUE
13786839,11664468.31,Action,TRUE,TRUE,TRUE
38284089,11453849.87,Racing,TRUE,TRUE,TRUE
11124109,10994824.41,Puzzle,TRUE,TRUE,TRUE
30681309,10845224.97,Word,TRUE,TRUE,TRUE
70125858,10235456.96,Racing,TRUE,TRUE,TRUE
13351804,10223510.06,Casino,TRUE,TRUE,TRUE
21972233,9762845,Action,TRUE,TRUE,TRUE
13383471,9742245.37,Action,TRUE,TRUE,TRUE
10443975,9665816.01,Entertainment,TRUE,TRUE,TRUE
216508726,9648900.83,Arcade,TRUE,TRUE,TRUE
28285872,9520040.2,Board,TRUE,TRUE,TRUE
96057016,9120860.8,Communication,TRUE,TRUE,TRUE
8385588,8949518.79,Role Playing,TRUE,TRUE,TRUE
11872926,8836943.61,Tools,TRUE,TRUE,TRUE
19538311,8829645.92,Action,TRUE,TRUE,TRUE
7661916,8766617.03,Arcade,TRUE,TRUE,TRUE
56561328,8618788.93,Sports,TRUE,TRUE,TRUE
18166374,8459046.1,Lifestyle,TRUE,TRUE,TRUE
19336665,8079590.28,Action,TRUE,TRUE,TRUE
12144857,7765141.61,Action,TRUE,TRUE,TRUE
22408028,7460616.54,Action,TRUE,TRUE,TRUE
22067710,7321967.08,Board,TRUE,TRUE,TRUE
39233717,7187378.55,Action,TRUE,TRUE,TRUE
14735986,7176554.88,Simulation,TRUE,TRUE,TRUE
46467042,6917833.79,Sports,TRUE,TRUE,TRUE
11898410,6858505.6,Music & Audio,TRUE,TRUE,TRUE
14226645,6406061.28,Sports,TRUE,TRUE,TRUE
14773740,6393553.26,Education,TRUE,TRUE,TRUE
7294781,6266743.48,Puzzle,TRUE,TRUE,TRUE
7776084,6236573.08,Strategy,TRUE,TRUE,TRUE
23618029,5919104.73,Action,TRUE,TRUE,TRUE
25779547,5814817.15,Action,TRUE,TRUE,TRUE
10737799,5776551.83,Simulation,TRUE,TRUE,TRUE
7698209,5673470.34,Simulation,TRUE,TRUE,TRUE
12259174,5618951.57,Casual,TRUE,TRUE,TRUE
10307100,5602649.9,Simulation,TRUE,TRUE,TRUE
27887060,5473460.72,Action,TRUE,TRUE,TRUE
41105440,5412076.59,Video Players & Editors,TRUE,TRUE,TRUE
18717952,5389624.87,Action,TRUE,TRUE,TRUE
58572084,5349788.52,Social,TRUE,TRUE,TRUE
14814534,5324608.49,Casino,TRUE,TRUE,TRUE
8880077,5317831.37,Productivity,TRUE,TRUE,TRUE
26159778,5314502.18,Productivity,TRUE,TRUE,TRUE
61543939,5188521.63,Casual,TRUE,TRUE,TRUE
25967990,5104868.55,Social,TRUE,TRUE,TRUE
12231993,4896816.91,Role Playing,TRUE,TRUE,TRUE
12866071,4881145.29,Music & Audio,TRUE,TRUE,TRUE
12983693,4731623.58,Simulation,TRUE,TRUE,TRUE
12427131,4537147.34,Simulation,TRUE,TRUE,TRUE
13000257,4498882.62,Social,TRUE,TRUE,TRUE
9475210,4359383.9,Puzzle,TRUE,TRUE,TRUE
15619727,4270274.6,Simulation,TRUE,TRUE,TRUE
52055751,4223881.65,Action,TRUE,TRUE,TRUE
20193175,4214517.73,Sports,TRUE,TRUE,TRUE
13499269,4187263.04,Sports,TRUE,TRUE,TRUE
17451320,4058130.85,Sports,TRUE,TRUE,TRUE
76992003,4020431.04,Action,TRUE,TRUE,TRUE
7936697,3921553.7,Casual,TRUE,TRUE,TRUE
12151954,3793270.27,Social,TRUE,TRUE,TRUE
103192626,3744361.28,Casual,TRUE,TRUE,TRUE
24151854,3696987.25,Entertainment,TRUE,TRUE,TRUE
47669217,3615726.19,Education,TRUE,TRUE,TRUE
17191300,3588020.82,Photography,TRUE,TRUE,TRUE
9778014,3564035.93,Word,TRUE,TRUE,TRUE
28936747,3495654.17,Card,TRUE,TRUE,TRUE
7993935,3465064.25,Strategy,TRUE,TRUE,TRUE
38858463,3404061.13,Productivity,TRUE,TRUE,TRUE
19502892,3387286.49,Action,TRUE,TRUE,TRUE
14028615,3357472.32,Music & Audio,TRUE,TRUE,TRUE
25009195,3354991.92,Sports,TRUE,TRUE,TRUE
11880634,3255430.5,Simulation,TRUE,TRUE,TRUE
89532266,3252547.8,Video Players & Editors,TRUE,TRUE,TRUE
7527540,3232819.41,Health & Fitness,TRUE,TRUE,TRUE
8099027,3227584.46,Strategy,TRUE,TRUE,TRUE
24932743,3158376.18,Trivia,TRUE,TRUE,TRUE
9019130,3106373.82,Action,TRUE,TRUE,TRUE
38293608,3044683.29,Simulation,TRUE,TRUE,TRUE
51424217,3018136.06,Action,TRUE,TRUE,TRUE
10975160,2813387.87,Role Playing,TRUE,TRUE,TRUE
9721678,2634082.31,Video Players & Editors,TRUE,TRUE,TRUE
10133903,2621961.06,Simulation,TRUE,TRUE,TRUE
71803295,2621835.11,Racing,TRUE,TRUE,TRUE
8900655,2602775.54,Simulation,TRUE,TRUE,TRUE
274359831,2592387.89,Social,TRUE,TRUE,TRUE
11812691,2477852.47,Health & Fitness,TRUE,TRUE,TRUE
8024903,2416581.16,Travel & Local,TRUE,TRUE,TRUE
10168363,2364839.89,Adventure,TRUE,TRUE,TRUE
8658874,2284741.89,Racing,TRUE,TRUE,TRUE
8543229,2280239.56,Arcade,TRUE,TRUE,TRUE
9171372,2221109.77,Racing,TRUE,TRUE,TRUE
10452463,2194896.25,Action,TRUE,TRUE,TRUE
33472174,2186976.36,Casual,TRUE,TRUE,TRUE
8127843,2182968.42,Music & Audio,TRUE,TRUE,TRUE
138955815,2142361.3,Casual,TRUE,TRUE,TRUE
10347518,2139281.05,Simulation,TRUE,TRUE,TRUE
25934619,2112564.21,Action,TRUE,TRUE,TRUE
24427875,2103689.61,Puzzle,TRUE,TRUE,TRUE
9116221,2097305.89,Action,TRUE,TRUE,TRUE
11440558,2061077.83,Racing,TRUE,TRUE,TRUE
52426485,1993745.82,Puzzle,TRUE,TRUE,TRUE
7681948,1900422.26,Music & Audio,TRUE,TRUE,TRUE
37935919,1886428.99,Arcade,TRUE,TRUE,TRUE
25594855,1825887.41,Word,TRUE,TRUE,TRUE
36325522,1796182.16,Racing,TRUE,TRUE,TRUE
15577004,1747066.35,Action,TRUE,TRUE,TRUE
14289483,1740087.77,Arcade,TRUE,TRUE,TRUE
15578994,1726464.5,Action,TRUE,TRUE,TRUE
19025850,1723242.11,Role Playing,TRUE,TRUE,TRUE
8313186,1719915.34,Social,TRUE,TRUE,TRUE
20118208,1715532.99,Tools,TRUE,TRUE,TRUE
15176248,1715525.13,Photography,TRUE,TRUE,TRUE
10452192,1652367.75,Business,TRUE,TRUE,TRUE
12692343,1650016.92,Action,TRUE,TRUE,TRUE
14129696,1644961.49,Casual,TRUE,TRUE,TRUE
49378253,1611775.83,Racing,TRUE,TRUE,TRUE
9278836,1596387.24,Strategy,TRUE,TRUE,TRUE
14450568,1589327.15,Racing,TRUE,TRUE,TRUE
8040320,1569845.46,Action,TRUE,TRUE,TRUE
8167070,1562404.23,Casino,TRUE,TRUE,TRUE
11351201,1556440.1,Health & Fitness,TRUE,TRUE,TRUE
9177197,1541399.67,Business,TRUE,TRUE,TRUE
7645615,1521653.31,Lifestyle,TRUE,TRUE,TRUE
8881022,1504265.65,Photography,TRUE,TRUE,TRUE
37345845,1499973.87,Arcade,TRUE,TRUE,TRUE
11225402,1497778.46,Puzzle,TRUE,TRUE,TRUE
104881950,1486520.47,Photography,TRUE,TRUE,TRUE
13030288,1427496.98,Shopping,TRUE,TRUE,TRUE
19252475,1406118.24,Weather,TRUE,TRUE,TRUE
10049747,1388378.22,Word,TRUE,TRUE,TRUE
20496053,1375370.08,Action,TRUE,TRUE,TRUE
8603013,1345629.26,Social,TRUE,TRUE,TRUE
10701467,1315905.07,Puzzle,TRUE,TRUE,TRUE
17950323,1286810.78,Simulation,TRUE,TRUE,TRUE
10236412,1245231.5,Action,TRUE,TRUE,TRUE
10344616,1244540.61,Action,TRUE,TRUE,TRUE
108547931,1209760.14,Arcade,TRUE,TRUE,TRUE
9834812,1193771.62,Racing,TRUE,TRUE,TRUE
7283067,1180788.62,Action,TRUE,TRUE,TRUE
26140390,1165652.33,Photography,TRUE,TRUE,TRUE
7931552,1153894.59,Arcade,TRUE,TRUE,TRUE
58760837,1135836.88,Casual,TRUE,TRUE,TRUE
10915023,1126931.49,Action,TRUE,TRUE,TRUE
8694167,1115487.48,Action,TRUE,TRUE,TRUE
44759122,1107572.31,Arcade,TRUE,TRUE,TRUE
7528518,1100868.29,Action,TRUE,TRUE,TRUE
11129330,1091003.89,Weather,TRUE,TRUE,TRUE
90905071,1052620.76,Action,TRUE,TRUE,TRUE
16586521,1045837.79,Racing,TRUE,TRUE,TRUE
61383013,1033583.24,Board,TRUE,TRUE,TRUE
18153382,1009624.91,Racing,TRUE,TRUE,TRUE
25380435,997278.16,Music & Audio,TRUE,TRUE,TRUE
31870014,995278.62,Photography,TRUE,TRUE,TRUE
8720059,987235.34,Social,TRUE,TRUE,TRUE
56403391,975246.78,Arcade,TRUE,TRUE,TRUE
15363339,934607.12,Social,TRUE,TRUE,TRUE
9137105,902780.79,Puzzle,TRUE,TRUE,TRUE
35584288,888685.63,Arcade,TRUE,TRUE,TRUE
7913060,857874.64,Simulation,TRUE,TRUE,TRUE
24846673,837636.09,Sports,TRUE,TRUE,TRUE
16896850,829936.2,Entertainment,TRUE,TRUE,TRUE
18306443,821108.42,Video Players & Editors,TRUE,TRUE,TRUE
19182017,817281.43,Trivia,TRUE,TRUE,TRUE
8988037,780970.64,Adventure,TRUE,TRUE,TRUE
7484686,778505.61,Action,TRUE,TRUE,TRUE
20502531,773414.86,Sports,TRUE,TRUE,TRUE
9872888,770235.15,Sports,TRUE,TRUE,TRUE
13989275,765248.99,Casual,TRUE,TRUE,TRUE
7382318,756593.02,Racing,TRUE,TRUE,TRUE
8305136,747951.36,Sports,TRUE,TRUE,TRUE
11378423,746823.82,Dating,TRUE,TRUE,TRUE
7584738,744857.93,Word,TRUE,TRUE,TRUE
17310725,719621.26,Action,TRUE,TRUE,TRUE
56932325,706757.08,Arcade,TRUE,TRUE,TRUE
16833212,698494.68,Video Players & Editors,TRUE,TRUE,TRUE
10409330,682588.42,Productivity,TRUE,TRUE,TRUE
41775572,678300.5,Racing,TRUE,TRUE,TRUE
46324782,676003.36,Video Players & Editors,TRUE,TRUE,TRUE
9856730,674451.32,Racing,TRUE,TRUE,TRUE
11651226,668522.19,Social,TRUE,TRUE,TRUE
8012969,652627,Casual,TRUE,TRUE,TRUE
19374598,647802.88,Action,TRUE,TRUE,TRUE
7652674,644398.51,Video Players & Editors,TRUE,TRUE,TRUE
21097428,642797.88,Entertainment,TRUE,TRUE,TRUE
37540382,629361.71,Photography,TRUE,TRUE,TRUE
33535699,626212.21,Racing,TRUE,TRUE,TRUE
59574184,623969.54,Strategy,TRUE,TRUE,TRUE
60500667,623652.77,Arcade,TRUE,TRUE,TRUE
19970766,614217.78,Action,TRUE,TRUE,TRUE
8872919,611858,Social,TRUE,TRUE,TRUE
12152996,605897.84,Lifestyle,TRUE,TRUE,TRUE
9704332,602113.17,Action,TRUE,TRUE,TRUE
7573154,600091.73,Casual,TRUE,TRUE,TRUE
7386703,595499.64,Action,TRUE,TRUE,TRUE
27127642,587211.92,Entertainment,TRUE,TRUE,TRUE
21494400,576247.22,Racing,TRUE,TRUE,TRUE
11090738,574798.23,Business,TRUE,TRUE,TRUE
97469339,573700.67,Communication,TRUE,TRUE,TRUE
10742775,549646.02,Racing,TRUE,TRUE,TRUE
10092784,546782.28,Music & Audio,TRUE,TRUE,TRUE
10653886,537471.48,Racing,TRUE,TRUE,TRUE
12426292,536450.23,Racing,TRUE,TRUE,TRUE
10069193,516145.36,Puzzle,TRUE,TRUE,TRUE
10779222,512512.63,Simulation,TRUE,TRUE,TRUE
7885174,502160.09,Action,TRUE,TRUE,TRUE
14628629,498215.55,Racing,TRUE,TRUE,TRUE
9114104,495281.93,Sports,TRUE,TRUE,TRUE
8335595,490564.17,Arcade,TRUE,TRUE,TRUE
7499313,489030.66,Adventure,TRUE,TRUE,TRUE
9606083,483437.7,Music & Audio,TRUE,TRUE,TRUE
11578012,474803.61,Trivia,TRUE,TRUE,TRUE
81409590,472634.27,Casual,TRUE,TRUE,TRUE
7616612,469432.67,Casual,TRUE,TRUE,TRUE
18651949,464946.1,Arcade,TRUE,TRUE,TRUE
12655298,462564.63,Word,TRUE,TRUE,TRUE
8953481,459701.5,Racing,TRUE,TRUE,TRUE
16526308,458974.55,Puzzle,TRUE,TRUE,TRUE
15971211,457191.44,Strategy,TRUE,TRUE,TRUE
9498200,451979.76,Card,TRUE,TRUE,TRUE
45540251,451682.92,Arcade,TRUE,TRUE,TRUE
20348589,444272.36,Music & Audio,TRUE,TRUE,TRUE
8175650,433806.86,Sports,TRUE,TRUE,TRUE
13586334,432535.83,Educational,TRUE,TRUE,TRUE
7487883,425208.19,Casual,TRUE,TRUE,TRUE
9981981,419307.83,Action,TRUE,TRUE,TRUE
7476884,417991.9,Action,TRUE,TRUE,TRUE
7560497,414100.63,Action,TRUE,TRUE,TRUE
27191425,413561.68,Arcade,TRUE,TRUE,TRUE
16472351,410407.76,Sports,TRUE,TRUE,TRUE
21621408,408104.62,Arcade,TRUE,TRUE,TRUE
35474453,383387.8,Casual,TRUE,TRUE,TRUE
107699790,381667.92,Action,TRUE,TRUE,TRUE
8177600,379760.67,Communication,TRUE,TRUE,TRUE
14154875,372991.13,Casual,TRUE,TRUE,TRUE
11611132,370570.74,Sports,TRUE,TRUE,TRUE
18352241,368493.78,Racing,TRUE,TRUE,TRUE
12535121,368238.21,Action,TRUE,TRUE,TRUE
14788752,366982.9,Social,TRUE,TRUE,TRUE
88597638,365071.08,Puzzle,TRUE,TRUE,TRUE
29224095,360934.32,Puzzle,TRUE,TRUE,TRUE
7617606,358602.65,Casual,TRUE,TRUE,TRUE
8572566,352637.98,Puzzle,TRUE,TRUE,TRUE
8629964,346814.19,Education,TRUE,TRUE,TRUE
9673762,343999.18,Action,TRUE,TRUE,TRUE
8426176,335244.54,Racing,TRUE,TRUE,TRUE
12409720,331149.12,Role Playing,TRUE,TRUE,TRUE
8407325,330109.73,Word,TRUE,TRUE,TRUE
34074451,326863.45,Music,TRUE,TRUE,TRUE
9866603,325271.36,Casual,TRUE,TRUE,TRUE
15860783,322592.85,Action,TRUE,TRUE,TRUE
9554411,313354.48,Simulation,TRUE,TRUE,TRUE
13386017,309823.02,Arcade,TRUE,TRUE,TRUE
25809669,304766.34,Arcade,TRUE,TRUE,TRUE
78860494,303044.85,Arcade,TRUE,TRUE,TRUE
43572142,293951.15,Photography,TRUE,TRUE,TRUE
10704360,292330.2,Action,TRUE,TRUE,TRUE
51176145,289667.31,Casual,TRUE,TRUE,TRUE
13741071,286956.75,Action,TRUE,TRUE,TRUE
13445095,285625.39,Productivity,TRUE,TRUE,TRUE
22564895,275590.04,Sports,TRUE,TRUE,TRUE
29229188,273751.83,Action,TRUE,TRUE,TRUE
57956748,273369.53,Action,TRUE,TRUE,TRUE
7645009,272947.75,Shopping,TRUE,TRUE,TRUE
9487477,267605.93,Action,TRUE,TRUE,TRUE
20807211,267074.58,Racing,TRUE,TRUE,TRUE
24125671,262297.23,Tools,TRUE,TRUE,TRUE
